sentence,scene_type,
The Marshmalloo pillow would make a great gift,0,
The Marshmalloo pillow would make a great gift,1,
It comes in this super soft bag,2,
How cute is this,3,
How cute is this,4,
This fun box,5,
"So again, this would be great for children, great for at the grandparent's house for the kids",6,
"So again, this would be great for children, great for at the grandparent's house for the kids",7,
I think this is going to be on the Christmas list for everyone in my family,0,
I think this is going to be on the Christmas list for everyone in my family,1,
"But with this Marshmalloo pillow, it's so soft, so comfortable",8,
"But with this Marshmalloo pillow, it's so soft, so comfortable",9,
"Just you, it's like melting into a Marshmalloo",3,
"Just you, it's like melting into a Marshmalloo",4,
I absolutely love how comfortable it is,10,
I absolutely love how comfortable it is,9,
"And I love the cooling technology because I don't want to be too hot when I'm sleeping, but I love how supportive it is",8,
"And I love the cooling technology because I don't want to be too hot when I'm sleeping, but I love how supportive it is",11,
No matter what sleep position I end up in,12,
No matter what sleep position I end up in,13,
"Cause I am, I start on my back and then I rolled to my side and then I might end up on my belly",12,
is supportive no matter how you sleep,8,
I just unwrapped my Marshmalloo pillow and can I just tell you how luxurious this feels,14,
I just unwrapped my Marshmalloo pillow and can I just tell you how luxurious this feels,4,
"Okay, when I first saw it, I thought this is going to be the best pillow for my kids",3,
"Okay, when I first saw it, I thought this is going to be the best pillow for my kids",7,
"It's soft, it's squishy, it'll be a lot of fun for them to just snuggle up with, but I saw it and then I realized this pillow is for me",15,
"It's soft, it's squishy, it'll be a lot of fun for them to just snuggle up with, but I saw it and then I realized this pillow is for me",7,
It is so comfortable,9,
It's soft,2,
It's squishy,2,
It's like you're melting into a Marshmalloo,3,
It's like you're melting into a Marshmalloo,4,
I've been waiting all day for this,16,
Can't wait to see what it feels like,14,
It's so soft,2,
This feels amazing,3,
My kid loves this pillow,7,
My kid loves this pillow,10,
Bedtime just got way easier,17,
Bedtime just got way easier,11,
You have to try Marshmalloo,1,
"It's soft, cool and super comfy",8,
You'll love it too,10,
This is the Marshmalloo pillow,18,
Go get the Marshmalloo pillow,1,
Your kid will love it,7,
Your kid will love it,1,
The pillow that makes bedtime as sweet as a Marshmalloo,11,
The pillow that makes bedtime as sweet as a Marshmalloo,4,
Bedtime magic in one squishy comfy pillow,17,
My child's eyes lit up when they touched the pillow for the first time,7,
My child's eyes lit up when they touched the pillow for the first time,3,
"With the holidays coming up, the Marshmalloo pillow is the perfect gift for kids, friends, or even yourself",0,
"With the holidays coming up, the Marshmalloo pillow is the perfect gift for kids, friends, or even yourself",1,
It even comes with a travel bag so you can bring Marshmalloo comfort anywhere,8,
"Trust me, it's a gift that brings smiles and better sleep",1,
"Trust me, it's a gift that brings smiles and better sleep",0,
Can I have one,7,
This is yours,7,
Are you excited,16,
Uh huh,7,
And he marbles,19,
But do you know what it is,20,
Marshmalloos,3,
No,3,
What is it,20,
It's something soft like a Marshmalloo,2,
But then why does it have Marshmalloos,20,
Because it's something soft,3,
"And can I, like, pretend I'm a s",7,
Go get the Marshmalloo pillow,1,
Your kid will love it,7,
Your kid will love it,1,
Say goodbye to overheating and discomfort with this pillow,11,
You have to try Marshmalloo,1,
"It's soft, cool, and super comfy",8,
You'll love it,10,
This is a Marshmalloo pillow,18,
"In our house, one Marshmalloo pillow just wasn't enough",7,
The kids loved it so much we had to get another one to keep the peace,7,
"And honestly, I don't blame them",10,
I even find myself sneaking it away after they fall asleep because it's that comfortable,10,
It's safe to say Marshmalloo has become a family favorite and we're all hooked,7,
I've been waiting all day for this,16,
I can't wait to see what it feels like,14,
This Marshmalloo pillow is exactly what my daughter needed to make her bedtime routine cool and comfortable,11,
Other pillows don't keep her cool throughout the night,11,
So she loves this pillow,7,
She mentions how she loves to hug it and how cool it feels throughout the night,7,
I'm so happy we found Marshmalloo,10,
Go get the Marshmalloo pillow,1,
Your kid will love it,7,
Your kid will love it,1,
"Say hello to the snuggliest, coolest pillow your kids will ever love",7,
"Say hello to the snuggliest, coolest pillow your kids will ever love",8,
"With the holidays right around the corner, the Marshmalloo Pillow makes the perfect gift for everyone on your list",0,
"With the holidays right around the corner, the Marshmalloo Pillow makes the perfect gift for everyone on your list",1,
"Whether it's for kids, friends, or even yourself",15,
"Plus, it comes with a free travel bag so you can take the comfort of the Marshmalloo Pillow wherever you go",2,
"Not only did I get one for each of my kids, but I have actually purchased one for myself because I love it so much",10,
I had to order multiple because my kids would not sleep without them,7,
"Trust me, it's a gift that will bring smiles and better sleep",0,
"Trust me, it's a gift that will bring smiles and better sleep",1,
Go get the Marshmalloo Pillow,1,
You and your kids will love it,7,
This is a Marshmalloo pillow,18,
Go get the Marshmalloo pillow,1,
Your kid will love it,7,
Your kids will beg to go to sleep with this pillow,17,
Bedtime magic in one big squishy pillow,17,
How I improved my daughter's sleep with the softest coolest pillow,10,
"As a mom, I love functionality combined with the fun",21,
"This sleep solution makes bedtime enjoyable, but also delivers quality sleep benefits like cooling and comfort",11,
"Yes, of course, I love that it had a playful Marshmalloo-like design that my kids were obsessed with",7,
"At the same time, it featured cooling technology that helped keep them cool through the night and offered unmatched support that adapted to all their many sleeping positions",8,
That way it provided a high-performance solution for restful sleep,9,
"My kids were so excited when this arrived, they couldn't wait to open the box",16,
I love that it comes with a travel bag for all those people traveling for the holidays,2,
I can already see the benefits of this Marshmalloo pillow,9,
"My kids are falling asleep quicker, and when they wake up, they seem more rested and in better moods, like they've gotten quality sleep at night",9,
"And when they're in a good mood, the whole family's in a good mood",17,
So give Marshmalloo Pillow a try,1,
"With the holidays right around the corner, I can't think of a better gift to give someone than better sleep",0,
"Yeah, are you so excited to open it",16,
"Marshmalloo pillow, Yes, Marshmalloo pillow, You so excited",7,
"Oh my gosh, Marshmalloo, Oh, it's so soft, isn't it",3,
"Oh my gosh, Marshmalloo, Oh, it's so soft, isn't it",2,
"It's so soft, It is so soft, isn't it",2,
"Ooh, Yeah, oh my goodness, This is so soft, oh my gosh",3,
"You need to eat it, yeah, laughing",7,
Go get the Marshmalloo pill,1,
Your kid will love it,7,
Your kid will love it,1,
This is the Marshmalloo pillow,18,
The pillow that makes bedtime easier for kids and parents alike,17,
"My two year old has been struggling with bedtime lately, so I've been desperate to try new options to get him to sleep",11,
"He's got a big boy bed now, and I saw this Marshmalloo pillow, and I knew I had to try it",10,
"I told him I had a special surprise for him all week, and he was so excited when he saw the fun, colorful packaging and the little Marshmalloos all over the box",16,
"I told him I had a special surprise for him all week, and he was so excited when he saw the fun, colorful packaging and the little Marshmalloos all over the box",7,
His eyes lit up when he touched the pillow for the first time,3,
"Also, it's a larger pillow so he can grow with it",13,
It was so soft and cooling that one Marshmalloo pillow just wasn't enough for our family,8,
I even got one for me and my husband because we love it so much,10,
"With the holidays around the corner, the Marshmalloo pillow makes the perfect gift for anyone on your list",0,
"Whether it's for kids, friends, or even yourself",15,
Trust me when I say it's a gift that will bring smiles and better sleep,0,
Trust me when I say it's a gift that will bring smiles and better sleep,1,
"Finally, a pillow that actually helps you sleep better",11,
"Finally, a pillow that actually helps you sleep better",13,
Say goodbye to restless nights and hello to Marshmalloo comfort,11,
Tired of waking up hot and uncomfortable,11,
